"caseid","date","event","comment","country1","country2","species","order","date2","year","post2017","decade","continent"
"48356","18/01/2023","Seizure","taxidermied animals & skins seized in San Justo and Florencio Varela - 2 arrested","Argentina",NA,"9 species","Artiodactyla",2023-01-18,2023,TRUE,"2023","Asia"
"48711","08/01/2023","Seizure","222 saiga horn pieces seized in Taldykorgan, Jetisu Region - 1 arrested","Kazakhstan",NA,"Saiga tatarica","Artiodactyla",2023-01-08,2023,TRUE,"2023","Asia"
"48988","03/09/2022","Seizure","leopard teeth, boar teeth, parrot & giant squirrel seized in Nayagarh District - 1 arrested","India",NA,"4 species","Artiodactyla",2022-09-03,2022,TRUE,"2023","Asia"
"48888","03/09/2022","Poaching / Illegal Harvesting","1 elephant & 1 wild boar poached in Hindol, Odisha","India",NA,"2 species","Artiodactyla",2022-09-03,2022,TRUE,"2023","Asia"
"45961","11/08/2022","Poaching / Illegal Harvesting","1 buffalo & 50 vultures poisoned in Chobe District","Botswana",NA,"2 species","Artiodactyla",2022-08-11,2022,TRUE,"2023","Asia"
"45922","05/08/2022","Seizure","1 buffalo poached in Victoria Falls - 1 arrested","Zimbabwe",NA,"Syncerus caffer","Artiodactyla",2022-08-05,2022,TRUE,"2023","Africa"
"48645","01/07/2022","Seizure","0.74 kg rhino horn & 0.3 kg saiga horns seized in Longhu, Shantou","China",NA,"2 species","Artiodactyla",2022-07-01,2022,TRUE,"2023","Asia"
"46387","01/07/2022","Seizure","1,430 wildlife specimens seized from gallery in La Victoria, Lima - 5 arrested","Peru",NA,"26 species","Artiodactyla",2022-07-01,2022,TRUE,"2023","Asia"
"45134","28/06/2022","Poaching / Illegal Harvesting","3 impalas poached in Chiredzi - 2 arrested","Zimbabwe",NA,"Aepyceros melampus","Artiodactyla",2022-06-28,2022,TRUE,"2023","Africa"
"48958","27/06/2022","Poaching / Illegal Harvesting","1 oryx poached in Farm Uitkoms, Otjozondjupa Region","Namibia",NA,"Oryx gazella","Artiodactyla",2022-06-27,2022,TRUE,"2023","Africa"
"45934","01/06/2022","Seizure","1 musk deer and 1 dead wildcat seized in Cao Bang - 1 charged","Viet Nam",NA,"2 species","Artiodactyla",2022-06-01,2022,TRUE,"2023","Asia"
"45825","11/05/2022","Seizure","40 rosewood pieces, 11 nest wood pieces, 10 live deer, elephant bone & Serow head seized in Chaiyaphum Province - 1 arrested","Thailand",NA,"5 species","Artiodactyla",2022-05-11,2022,TRUE,"2023","Asia"
"44824","07/05/2022","Seizure","2 deer carcasses seized in Kamareddy District, Telangana - 8 arrested","India",NA,"Cervidae","Artiodactyla",2022-05-07,2022,TRUE,"2023","Asia"
"43464","07/05/2022","Seizure","4 impalas, dried lion and zebra meat seized in Beitbridge, Matabeleland South - 2 arrested","Zimbabwe",NA,"3 species","Artiodactyla",2022-05-07,2022,TRUE,"2023","Africa"
"43266","06/05/2022","Seizure","2 wild boar tusks seized in Udaipur, Rajasthan - 3 arrested","India",NA,"Sus","Artiodactyla",2022-05-06,2022,TRUE,"2023","Asia"
"44020","01/05/2022","Seizure","2 lion skins, 5 leopard skins and 3 serval skins seized in Togo - 2 arrested","Togo",NA,"4 species","Artiodactyla",2022-05-01,2022,TRUE,"2023","Asia"
